CellType,CellNumber,indices
BM,1,
BM,2,
BM,3,"0,1,3,4,5,6,8,9"
BM,4,"0,1,2,3,4,5,6,7,8,9,10"
BM,5,"0,3,4,6,7,9,10"
BM,6,"0,1,3,4,5,6,8,9"
BM,7,
BM,8,"0,1,3,4,5,6,8"
BM,9,"0,1,2,3,4,5,6,7,8,9,10"
BM,10,"1,3,7"
BM,11,"0,1,3,4,6,7,9,10"
BM,12,"3,6,7,10"
BM,13,"1,3,4,6,7,9,10"
BM,14,"0,1,3,4,5,6,7,8,9,10"
BM,15,"0,1,2,3,4,5,6,7,8,9,10"
BM,16,"3,6,7,10"
BM,17,"7,10"
BM,18,"0,1,3,4,5,9"
BM,19,"0,1,2,3,4,5,6,7,8,9,10"
BM,20,
BM,21,"1,3,6,7,8,10"
BM,22,"1,3,6,7,8,9,10"
BM,23,
BM,24,
BM,25,
BM,26,"1,4,6,8,10"
BM,27,
BM,28,"0,1,3,4,6,7,10"
BM,29,"0,1,3,4,5,6,7,8,9,10"
BM,30,"0,1,3,4,5,6,7,8,9,10"
BM,31,"0,1,3,4,5,6,7,8,9,10"
BM,32,
UC,1,"0,2,3,4,5,6,7,8,9,10"
UC,2,"2,3,4,5,9"
UC,3,"0,4,5,6,9"
UC,4,"0,3,4,6,8"
UC,5,
UC,6,"0,1,3,4,6,9,10"
UC,7,"0,2,3,4,5,6,7,8,9"
UC,8,"0,3,4,5,6,8,9"
UC,9,"0,1,2,3,4,5,6,7,8,9"
UC,10,"0,1,2,3,4,5,6,8,9"
UC,11,"0,2,3,4,6,8"
UC,12,"0,1,2,3,4,5,6,7,8,9,10"
UC,13,
UC,14,
UC,15,"0,1,3,4,6"
UC,16,"0,3,6,9"
UC,17,
UC,18,"0,1,3,4,5,6,8,9"
UC,19,
UC,20,"0,3,4,6,8,9"
UC,21,
UC,22,
UC,23,
UC,24,"0,1,3,4,6,8,9"
UC,25,
UC,26,
UC,27,"3,5,6,9"
UC,28,
UC,29,
UC,30,
UC,31,"0,1,3,4,5,6,8,9"
UC,32,"0,1,2,3,4,5,6,7,8,9,10"
UC,33,
UC,34,"0,1,2,3,4,5,6,7,8,9"
UC,35,"0,3,5,6,8"
