ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Nucleolin,Intensity_IntegratedIntensity_Nucleolin,Intensity_LowerQuartileIntensity_Nucleolin,Intensity_MADIntensity_Nucleolin,Intensity_MassDisplacement_Nucleolin,Intensity_MaxIntensityEdge_Nucleolin,Intensity_MaxIntensity_Nucleolin,Intensity_MeanIntensityEdge_Nucleolin,Intensity_MeanIntensity_Nucleolin,Intensity_MedianIntensity_Nucleolin,Intensity_MinIntensityEdge_Nucleolin,Intensity_MinIntensity_Nucleolin,Intensity_StdIntensityEdge_Nucleolin,Intensity_StdIntensity_Nucleolin,Intensity_UpperQuartileIntensity_Nucleolin,Location_CenterMassIntensity_X_Nucleolin,Location_CenterMassIntensity_Y_Nucleolin,Location_CenterMassIntensity_Z_Nucleolin,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Nucleolin,Location_MaxIntensity_Y_Nucleolin,Location_MaxIntensity_Z_Nucleolin,Number_Object_Number
1,1,2158,3599,614,212,555,151,582.5347544022243,182.09684893419833,2.7937829801904086,0.6030405261823185,52.41804019169814,-2,0.5996110030564046,0.3579376090020584,62.27834372368417,66.52818951391959,18.439088914585774,6.368642632523623,5.385164807134504,56.285699782449186,49.68009191080521,1.0771057755370244,275.2497833620557,0.8070306656694092,248.0,2158.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,582.5347544022243,182.09684893419833,0.0,582.5347544022243,182.09684893419833,0,610.0,183.0,0.0,1
1,2,1353,2496,581,270,529,222,553.5631929046564,244.2941611234294,2.595397859304685,0.5705499429247283,41.50533825939352,0,0.5420673076923077,0.38529738183104734,47.01402220769657,52.15361924162119,16.278820596099706,5.594018710085481,5.0,37.55734300872632,38.61087255419504,-1.0113180029131974,210.06601717798213,0.8034441805225653,190.0,1353.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,553.5631929046564,244.2941611234294,0.0,553.5631929046564,244.2941611234294,0,545.0,269.0,0.0,2
2,1,1765,2900,651,186,593,136,622.1093484419264,161.43512747875354,2.6835043313059255,0.5999946800053562,47.40535620009159,-2,0.6086206896551725,0.37264706016455384,54.5386420204178,64.88451279003334,18.439088914585774,6.083942200841038,5.0990195135927845,46.04987775093341,43.63113122378942,1.0311907406711607,243.96551211459382,0.8070416095107453,217.0,1765.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,622.1093484419264,161.43512747875354,0.0,622.1093484419264,161.43512747875354,0,636.0,185.0,0.0,1
3,1,2572,6510,360,310,267,240,308.7177293934681,265.3919129082426,32.55309107623247,0.7518267938761382,57.22562458426154,-117,0.39508448540706603,0.03071904900392442,82.9187033829359,92.43916918709297,7.810249675906654,2.09152871225758,1.4142135623730951,66.92416522753732,54.67333048930571,1.5390002713217756,1025.738202797874,0.5986964618249534,21.101961459964514,56.09411916323006,0.019607843831181526,0.0,0.6313091050158777,0.027450980618596077,0.03921568766236305,0.020329442639657528,0.02180953311167576,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.001576985308667374,0.002888398952447423,0.0235294122248888,308.1048658079865,265.2404222759692,0.0,308.7177293934681,265.3919129082426,0,293.0,273.0,0.0,1
4,1,1027,1900,719,505,669,467,694.1275559883155,484.73417721518985,2.3336993989652433,0.7312331814542222,36.16098743733379,1,0.5405263157894736,0.4285042025735609,45.92098132734414,49.16299421312742,12.041594578792296,4.619551249258438,4.123105625617661,32.496684180984076,31.323967828490595,-1.2209992522650766,173.5452018978108,0.8042286609240408,115.25882548093796,943.3686324357986,0.8303921669721603,0.039215683937072754,0.1638641732197844,0.8352941274642944,1.0,0.7787758478441754,0.918567314932618,0.9607843160629272,0.7568627595901489,0.7568627595901489,0.01762601864034671,0.08924385416794733,1.0,694.0981464025834,484.57297379235996,0.0,694.1275559883155,484.73417721518985,0,692.0,485.0,0.0,1
5,1,2498,6156,484,251,403,175,440.22938350680545,221.14051240992794,8.778541359662977,0.8066992925520283,56.396386256110745,-12,0.40578297595841456,0.11391414120288336,84.06988797370202,106.21675950620975,17.4928556845359,5.080613330998046,3.605551275463989,54.504663605564836,49.6821209408319,0.9251508564335245,524.9432175380073,0.6661333333333334,457.0,2498.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,440.22938350680545,221.14051240992794,0.0,440.22938350680545,221.14051240992794,0,424.0,228.0,0.0,1
5,2,1318,2436,410,268,352,226,381.90288315629743,246.9681335356601,3.0556711572385136,0.7681663105256509,40.96498163017951,0,0.5410509031198686,0.32726034594106157,55.494043214725565,61.741396161732524,15.0,4.722031488284306,4.0,40.04444433531191,35.530080968107505,1.5577285382925774,224.96551211459376,0.7018104366347178,198.0,1318.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,381.90288315629743,246.9681335356601,0.0,381.90288315629743,246.9681335356601,0,392.0,229.0,0.0,2
5,3,821,1855,446,299,411,246,430.38733252131544,275.1473812423873,2.8671312728208744,0.8060116121408558,32.33155836373447,1,0.44258760107816714,0.34878068174957805,44.85296378136303,53.85164807134504,11.180339887498949,4.081509339557586,3.605551275463989,29.2,26.54845680027972,0.5053719269124771,171.98885271170678,0.7336907953529938,152.0,821.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,430.38733252131544,275.1473812423873,0.0,430.38733252131544,275.1473812423873,0,438.0,298.0,0.0,3
6,1,887,1482,619,408,581,369,598.4520856820744,387.1037204058625,2.684932451814373,0.5690896205506737,33.60600357347016,-10,0.5985155195681512,0.3724488485079909,38.13717426561013,42.5205832509386,13.0,4.3714026054837785,3.605551275463989,32.288008051249086,31.359264174227796,-0.1157461316751312,172.99494936611666,0.8160073597056118,6.419608101248741,49.58823673427105,0.03921568766236305,0.011764705181121826,0.5805011605359971,0.05098039284348488,0.14901961386203766,0.03732330291423687,0.0559055656530677,0.0470588244497776,0.03529411926865578,0.03529411926865578,0.0030632467391795374,0.02327861412832855,0.062745101749897,598.7088177159837,386.58307632383674,0.0,598.4520856820744,387.1037204058625,0,599.0,383.0,0.0,1
7,1,707,2320,679,392,639,334,656.990099009901,360.08345120226306,5.330322000903033,0.9537875413446602,30.003005818213616,1,0.30474137931034484,0.1876059269647473,74.49829027398722,64.00781202322104,6.708203932499369,2.4885601277994707,2.0,25.76150711078031,22.385382074675874,-0.5292318976996945,217.6162697096763,0.5446841294298922,63.866668462753296,260.78431925177574,0.34117648005485535,0.019607841968536377,0.39996829254828503,0.3686274588108063,0.47843137383461,0.3397163216103899,0.36886042326983837,0.3607843220233917,0.3294117748737335,0.3294117748737335,0.008416350420128242,0.03188883070864155,0.38823530077934265,657.0595789417547,359.6895639415988,0.0,656.990099009901,360.08345120226306,0,650.0,357.0,0.0,1
