,BM1,BM2,BM3,BM4,BM5,BM6,BM7
ATF6,72077,53496,26147,92562,91513,137280,79126
BetaTubulin,110718,43207,29110,137453,118420,162026,177176
ConcanavalinA,74479,58762,30292,147074,103561,167414,118167
DAPI,18000,16198,10203,21401,26186,21884,24240
GOLPH4,73537,44528,29841,86267,50304,127784,89119
HSP60,106731,47291,43028,133622,92454,231791,156379
Nucleolin,2158,1765,2572,1027,2498,887,707
Phalloidin,116287,55108,36672,266663,174239,229626,289824
Sortilin,61584,35704,31165,88538,76510,180883,52895
TOM20,88060,49251,28398,160884,173177,185333,137833
WGA,90379,50818,34451,138099,96925,231986,134474
