,UC1,UC2,UC3,UC4,UC5,UC6,UC7
ATF6,95622,64911,64766,95730,40275,85629,254557
BetaTubulin,198615,148244,154339,327964,208441,390137,664577
ConcanavalinA,119233,88994,105803,191096,78745,140352,295241
DAPI,25724,23470,24846,23510,19394,26163,35329
GOLPH4,105132,75821,69107,24267,31549,76274,77424
HSP60,247370,125875,152705,348499,114527,298772,488934
Nucleolin,10989,9814,3180,3860,2257,338,13433
Phalloidin,145333,71630,76489,159617,53867,238990,301581
Sortilin,178156,89586,70557,231671,88344,112341,413930
TOM20,122737,75906,101154,116887,65806,124685,311985
WGA,130533,83281,83649,110234,60433,110821,245917
