,BM1,BM2,BM3,BM4,BM5,BM6,BM7
ATF6,636.7654602615119,468.7258468491638,204.99880797652284,561.1601818101077,452.4709350240246,615.5725792297471,541.1357005270523
BetaTubulin,786.3650180865186,439.9828559701088,211.3270376000225,730.3613804157613,584.3708146437866,814.9770564142501,978.9489081108778
ConcanavalinA,640.9448903440523,506.4737495408003,223.2783304073859,761.4887807565295,528.1989994005404,820.9547537018362,720.2990978705847
DAPI,208.98795971119227,195.6617926333172,121.24420222112576,200.28144998067236,204.99562751634323,197.93757942084903,229.06498132833724
GOLPH4,622.3679334664126,419.1114777773052,223.9323730943624,517.1040476607741,396.7049309080765,657.577717345198,597.2892894900408
HSP60,770.5332942846812,413.7684922602651,268.3565651298291,595.5725312635875,522.4051346787802,1021.358252683968,905.551862288574
Nucleolin,62.27834372368417,54.5386420204178,82.9187033829359,45.92098132734414,84.06988797370202,38.13717426561013,74.49829027398722
Phalloidin,778.6819682527148,466.739902527186,246.7108675120013,930.7030082732877,648.2290713058986,1033.739597108906,1100.639470274334
Sortilin,597.7136490518443,365.05352349855633,210.7723796089509,557.171413239912,423.5385979309008,888.5624270078617,445.4861110508645
TOM20,684.3604655463337,426.7526644548324,201.9512521144659,699.6152309503872,720.0625522733734,777.2199296400595,882.1121539938293
WGA,636.0426759,372.9835597,223.6565835,592.6265907,494.1212507,987.441143,626.1316322
