,UC1,UC2,UC3,UC4,UC5,UC6,UC7
ATF6,706.8716338747661,411.92412814743966,421.9942102724702,599.3834167834725,277.7104767463546,434.6878470508992,1224.3830395845184
BetaTubulin,1250.359322194539,838.9178725358743,809.9034960594612,1348.8678581485512,690.3379825331707,1107.7956502338352,2171.817058259254
ConcanavalinA,788.9968264244778,526.4411809306464,588.5088568481365,1241.9118813744506,401.9487444894228,600.0013573679861,1221.4050204223518
DAPI,239.54197758230603,218.47654768501985,224.9208580017228,217.1054780832719,202.73442273599292,236.90653953528945,278.459936715404
GOLPH4,725.6874490778725,499.6763681784521,590.8855937897548,220.4210014408124,269.97645173726903,456.8407553441626,485.733495680742
HSP60,1671.1452668887116,854.7773463400878,775.6825497392473,1174.6046279085283,511.2243879900662,982.0687589519688,1895.6287213802248
Nucleolin,167.38228855743367,154.5848167347691,96.8030880626398,85.33575204169082,86.67370040077007,25.81053754878817,178.17826135681744
Phalloidin,949.2587963316996,451.4420041082468,498.9729486436588,1068.1033424340028,308.67679609239315,953.8496834347987,1273.32355147502
Sortilin,990.5544064664392,505.1902246606693,397.58943823650094,1167.729494020157,423.0950682557096,577.2263810442934,1374.4124459893635
TOM20,858.91885402488,482.3756426744489,649.7879155749565,879.0574677812644,393.5833725086123,583.2295751165136,1130.098610349536
WGA,870.1790565485549,483.4971875317444,483.8583098274379,767.3965301683791,318.4004309169302,564.1811061532582,1079.460217007901
