,BM1,BM2,BM3,BM4,BM5,BM6,BM7
ATF6,176.29799583252122,174.70261484021728,170.48969537708416,346.83748571205206,365.06945923943175,364.7931348079559,204.4410361848545
BetaTubulin,242.34613145142052,152.8033701186348,182.2010563693349,408.63528164072585,429.6674968717908,383.0205092987952,278.0175190308742
ConcanavalinA,170.61640413120043,176.34442973856807,180.06116712910116,408.6370794215797,364.2137453070234,376.873231712282,247.689409521728
DAPI,112.55820598744052,106.95300207298864,108.17043634483626,136.3003355007978,162.941010856089,141.53239621799818,134.99250315694485
GOLPH4,176.0710569500506,165.8208507364601,177.3969205776553,350.528813002074,206.80445961735748,368.2325332562856,213.94683462001623
HSP60,262.31857701989964,164.46970936528686,231.0431034902443,358.46041536042253,413.5676425818213,415.9265150309469,267.93678949140127
Nucleolin,49.68009191080521,43.63113122378942,54.67333048930571,31.323967828490595,49.6821209408319,31.3592641742278,22.385382074675874
Phalloidin,294.51923370019455,189.6213723913095,205.06364017514403,483.9852836252278,529.5867108604484,450.0191086930734,392.9476570190808
Sortilin,168.29658412324673,139.97616767653787,194.5337206600092,253.56330827105188,286.9262423003248,416.20383010077904,183.64313157979063
TOM20,194.5622320137048,167.3616266965027,187.5147858608226,449.2193740170004,571.292445422197,418.18074958406976,249.7326588072288
WGA,205.6198131,190.1679508,203.3184047,477.8184952,343.9138738,427.6184863,338.9890485
